first_name,last_name,username,email,password,birthdate(dd-mm-yyyy),mobile_no,enrollment_number,branch(slug),course,gender
test1,test1,test1,test1@test.com,test@1234,03-10-1994,9797979797,1212121212,iimbang,btech,male
test2,test2,test2,test2@test.com,test@1234,03-10-1995,9797979798,1212121213,iimahem,mba,female
test3,test3,test3,test3@test.com,test@1234,03-10-1996,9797979799,1212121214,iitgan,msc,male
test4,test4,test4,test4@test.com,test@1234,03-10-1997,9797979800,1212121215,iitbom,bca,female
test5,test5,test5,test5@test.com,test@1234,03-10-1998,9797979801,1212121216,iimbang,btech,male
test6,test6,test6,test6@test.com,test@1234,03-10-1999,9797979802,1212121217,iimahem,mba,female
test7,test7,test7,test7@test.com,test@1234,03-10-2000,9797979803,1212121218,iitgan,msc,male
test8,test8,test8,test8@test.com,test@1234,03-10-2001,9797979804,1212121219,iitbom,bca,female
test9,test9,test9,test9@test.com,test@1234,03-10-2002,9797979805,1212121220,iimbang,btech,male
test10,test10,test10,test10@test.com,test@1234,03-10-2003,9797979806,1212121221,iimahem,mba,female
test11,test11,test11,test11@test.com,test@1234,03-10-2004,9797979807,1212121222,iitgan,msc,male
test12,test12,test12,test12@test.com,test@1234,03-10-2005,9797979808,1212121223,iitbom,bca,female
test13,test13,test13,test13@test.com,test@1234,03-10-2006,9797979809,1212121224,iimbang,btech,male
test14,test14,test14,test14@test.com,test@1234,03-10-2007,9797979810,1212121225,iimahem,mba,female
test15,test15,test15,test15@test.com,test@1234,03-10-2008,9797979811,1212121226,iitgan,msc,male
test16,test16,test16,test16@test.com,test@1234,03-10-2009,9797979812,1212121227,iitbom,bca,female
test17,test17,test17,test17@test.com,test@1234,03-10-2010,9797979813,1212121228,iimbang,btech,male
test18,test18,test18,test18@test.com,test@1234,03-10-2011,9797979814,1212121229,iimahem,mba,female
test19,test19,test19,test19@test.com,test@1234,03-10-2012,9797979815,1212121230,iitgan,msc,male
test20,test20,test20,test20@test.com,test@1234,03-10-2013,9797979816,1212121231,iitbom,bca,female
